number_inpatient,partial_dependence
0.0,0.1485498994588852
0.8,0.24021923542022705
1.6,0.3330289423465729
2.4000000000000004,0.3330290615558624
3.2,0.40132957696914673
4.0,0.4516591429710388
4.800000000000001,0.541309118270874
5.6000000000000005,0.5795800685882568
6.4,0.5795800685882568
7.2,0.5820820331573486
8.0,0.7130546569824219
8.8,0.7137786149978638
9.600000000000001,0.7172797918319702
10.4,0.7172797918319702
11.200000000000001,0.8091564774513245
12.0,0.8093946576118469
12.8,0.8148525357246399
13.600000000000001,0.815950870513916
14.4,0.815950870513916
15.200000000000001,0.8160818219184875
